Central	kingdom	taxa	np
1_FIG01129357: hypothetical protein	Bacteria	Proteobacteria	Polyketideambruticin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidelasalocid
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidelasalocid
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidemonensin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidenanchangmycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidenaphthomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideneocarzinostatin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidenigericin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidepladienolide
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketiderubradirin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidesalinomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideansamitocin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRP / Polyketidesporolide
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidetetronasin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidetetronomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidetiacumicin B
1_FIG01129357: hypothetical protein	Bacteria	Unknown	Polyketide / saccharidearixanthomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideazicemicin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideazicemicin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketide / Saccharidelomaiviticin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidelysolipin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideoxytetracycline
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidecalicheamicin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideresistomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidexantholipin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideviguiepinol
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRP / SaccharideA40926
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPA47934
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPA47934
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPactinomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPanthramycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPbalhimycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPchloroeremomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidecoelimycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPcomplestatin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPdaptomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPechinomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPechinomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPenduracidin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPquinomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPsibiromycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPSW-163
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPtaromycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPteicoplanin
1_FIG01129357: hypothetical protein	Bacteria	Proteobacteria	Polyketidegephyronic acid
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPteicoplanin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPthiocoraline
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPtriostin A
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPtriostin A
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPvancomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	RiPPSCO-2138
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	RiPPSLI-2138
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	RiPPSWA-2138
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Terpenecarotenoid
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	TerpeneKS-505a
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidekedarcidin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Terpenenapyradiomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Alkaloid / Terpenexiamycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Terpenexiamycin
1_FIG01129357: hypothetical protein	Bacteria	Bacteroidetes	Polyketideflexirubin
1_FIG01129357: hypothetical protein	Bacteria	Proteobacteria	Otherxanthomonadin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPchloramphenicol
1_FIG01129357: hypothetical protein	Bacteria	Proteobacteria	Otherquinolobactin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Otherxiamenmycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRP / Polyketidepristinamycin
1_FIG01129357: hypothetical protein	Fungi	ascomycetes	NRP / Polyketideaspyridone
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidekedarcidin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	PolyketideC-1027
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	PolyketideC-1027
1_FIG01129357: hypothetical protein	Bacteria	Proteobacteria	NRP / Polyketidechondramide
1_FIG01129357: hypothetical protein	Bacteria	Proteobacteria	NRP / Polyketidechondrochloren
1_FIG01129357: hypothetical protein	Bacteria	Cyanobacteria	NRPcryptophycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidemaduropeptin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidemaduropeptin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidemaduropeptin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketide / Saccharidepolyketomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketideherboxidiene
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidelaidlomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Other / Polyketide / Saccharidesimocyclinone
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketide / Terpenenapyradiomycin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketide / Terpenemerochlorin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Othercacibiocin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPUK-68,597
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	NRPUK-68,597
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidelobophorin
1_FIG01129357: hypothetical protein	Bacteria	Unknown	NRP / Polyketidelandepoxcin
1_FIG01129357: hypothetical protein	Bacteria	Proteobacteria	NRP / Polyketidenannocystin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Otherlomofungin
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidelasalocid
1_FIG01129357: hypothetical protein	Bacteria	Actinobacteria	Polyketidesimocyclinone D9 / simocyclinone D10 / simocyclinone D11
10_FIG01131749: hypothetical protein	Bacteria	Actinobacteria	RiPPSCO-2138
10_FIG01131749: hypothetical protein	Bacteria	Actinobacteria	RiPPSLI-2138
10_FIG01131749: hypothetical protein	Bacteria	Actinobacteria	Saccharidekanamycin
108_Acyl carrier protein	Bacteria	Actinobacteria	Polyketidemarineosin
108_Acyl carrier protein	Bacteria	Actinobacteria	NRP / Polyketideeponemycin
108_Acyl carrier protein	Bacteria	Proteobacteria	OtherAPE Ec
108_Acyl carrier protein	Bacteria	Bacteroidetes	Polyketideflexirubin
108_Acyl carrier protein	Bacteria	Bacteroidetes	Otherflexirubin
108_Acyl carrier protein	Bacteria	Actinobacteria	Othernikkomycin
108_Acyl carrier protein	Bacteria	Actinobacteria	Othermethylenomycin
108_Acyl carrier protein	Bacteria	Actinobacteria	Othermitomycin
108_Acyl carrier protein	Bacteria	Proteobacteria	NRP / Polyketideandrimid
108_Acyl carrier protein	Bacteria	Actinobacteria	NRP / Polyketideundecylprodigiosin
108_Acyl carrier protein	Bacteria	Actinobacteria	NRP / Polyketidekirromycin
108_Acyl carrier protein	Bacteria	Proteobacteria	Polyketideetnangien
108_Acyl carrier protein	Bacteria	Actinobacteria	NRP / Polyketidekosinostatin
108_Acyl carrier protein	Bacteria	Proteobacteria	NRP / Polyketidedisorazole
108_Acyl carrier protein	Bacteria	Actinobacteria	Polyketidepamamycin
108_Acyl carrier protein	Bacteria	Proteobacteria	Otherisopropylstilbene
108_Acyl carrier protein	Bacteria	Actinobacteria	NRP / Polyketidesalinamides
108_Acyl carrier protein	Bacteria	Actinobacteria	Polyketidesimocyclinone D9 / simocyclinone D10 / simocyclinone D11
108_Acyl carrier protein	Bacteria	Proteobacteria	Polyketidemupirocin
108_Acyl carrier protein	Bacteria	Actinobacteria	Polyketideasukamycin
108_Acyl carrier protein	Bacteria	Actinobacteria	PolyketideA-74528
108_Acyl carrier protein	Bacteria	Unknown	Polyketideerdacin
108_Acyl carrier protein	Bacteria	Actinobacteria	Polyketidehatomarubigin
108_Acyl carrier protein	Bacteria	Actinobacteria	Polyketide / Saccharidelomaiviticin
108_Acyl carrier protein	Bacteria	Actinobacteria	NRPcalcium-dependent antibiotic
116_putative methyltransferase	Fungi	ascomycetes	Polyketidealternapyrone
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidekijanimicin
116_putative methyltransferase	Bacteria	Proteobacteria	NRPWAP-8294A2 (lotilibcin)
116_putative methyltransferase	Bacteria	Proteobacteria	NRPWAP-8294A2 (lotilibcin)
116_putative methyltransferase	Bacteria	Proteobacteria	NRPxenortide
116_putative methyltransferase	Bacteria	Proteobacteria	NRPxenortide
116_putative methyltransferase	Bacteria	Cyanobacteria	RiPPviridisamide A
116_putative methyltransferase	Bacteria	Cyanobacteria	RiPPaeruginosamide
116_putative methyltransferase	Bacteria	Actinobacteria	RiPPcypemycin
116_putative methyltransferase	Bacteria	Actinobacteria	RiPPgrisemycin
116_putative methyltransferase	Bacteria	Actinobacteria	RiPPGE2270
116_putative methyltransferase	Bacteria	Actinobacteria	Saccharidekanamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidelankamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Saccharidestreptomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Saccharidestreptomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Saccharidestreptomycin
116_putative methyltransferase	Bacteria	Actinobacteria	AlkaloidAT2433
116_putative methyltransferase	Bacteria	Actinobacteria	AlkaloidK-252a
116_putative methyltransferase	Bacteria	Unknown	Alkaloidmethylarcyriarubin
116_putative methyltransferase	Bacteria	Actinobacteria	Alkaloidstaurosporine
116_putative methyltransferase	Bacteria	Actinobacteria	Alkaloidstaurosporine
116_putative methyltransferase	Bacteria	Actinobacteria	Alkaloidstaurosporine
116_putative methyltransferase	Bacteria	Actinobacteria	Alkaloidstaurosporine
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidemacbecin
116_putative methyltransferase	Bacteria	Actinobacteria	Alkaloidstaurosporine
116_putative methyltransferase	Bacteria	Proteobacteria	OtherAPE Ec
116_putative methyltransferase	Bacteria	Actinobacteria	OtherA201A
116_putative methyltransferase	Bacteria	Actinobacteria	Otherpuromycin
116_putative methyltransferase	Bacteria	Actinobacteria	Otherdehydrophos
116_putative methyltransferase	Bacteria	Actinobacteria	Othermitomycin
116_putative methyltransferase	Bacteria	Proteobacteria	Otherquinolobactin
116_putative methyltransferase	Bacteria	Proteobacteria	Otherquinolobactin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidepristinamycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidepristinamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidemacbecin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketideazinomycin B
116_putative methyltransferase	Bacteria	Unknown	NRP / Polyketidecalyculin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidecollismycin A
116_putative methyltransferase	Bacteria	Proteobacteria	NRP / Polyketidecrocacin
116_putative methyltransferase	Bacteria	Cyanobacteria	NRP / Polyketidecuracin
116_putative methyltransferase	Bacteria	Cyanobacteria	NRP / Polyketidehectochlorin
116_putative methyltransferase	Bacteria	Cyanobacteria	NRP / Polyketidejamaicamide
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidelobophorin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidelymphostin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidelymphostin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidemarineosin
116_putative methyltransferase	Bacteria	Cyanobacteria	NRP / Polyketidemicrocystin
116_putative methyltransferase	Bacteria	Cyanobacteria	NRP / Polyketidemicropeptin
116_putative methyltransferase	Bacteria	Proteobacteria	NRP / Polyketidemicrosclerodermins
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidepolyoxypeptin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketiderapamycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidesanglifehrin A
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketide / Saccharidezorbamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidedynemicin
116_putative methyltransferase	Bacteria	Actinobacteria	PolyketideTLN-05220
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketideundecylprodigiosin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidemeilingmycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidekirromycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidekosinostatin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketide / Saccharidecosmomycin D
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketide / Terpenefuraquinocin A
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Terpeneteleocidin B
116_putative methyltransferase	Bacteria	Proteobacteria	NRP / Polyketidealbicidin
116_putative methyltransferase	BGC0001097_AGN74875		
116_putative methyltransferase	BGC0001097_AGN74885		
116_putative methyltransferase	Bacteria	Proteobacteria	NRP / Polyketiderhizopodins
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidevirginiamycin
116_putative methyltransferase	Fungi	ascomycetes	Polyketidemonacolin K
116_putative methyltransferase	Bacteria	Actinobacteria	NRPhimastatin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / RiPPpheganomycin
116_putative methyltransferase	Bacteria	Actinobacteria	RiPPGE2270
116_putative methyltransferase	Bacteria	Cyanobacteria	NRP / Polyketidecuracin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidelobophorin B
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidelobophorin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPalbachelin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPmarformycins
116_putative methyltransferase	Bacteria	Unknown	Otherreductasporine
116_putative methyltransferase	Bacteria	Actinobacteria	NRPretimycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideniddamycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidesalinamides
116_putative methyltransferase	Bacteria	Proteobacteria	NRP / Polyketidemicrosclerodermins
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideanthracimycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidepactamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Other / Polyketide / Saccharidepactamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideapoptolidin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketiderifamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketiderifamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidetetrocarcin A
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidetetronasin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidevicenistatin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidedorrigocin / migrastatin
116_putative methyltransferase	Bacteria	Proteobacteria	Polyketideetnangien
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideaclacinomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideaclacinomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketide / Saccharidearenimycin B
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideapoptolidin
116_putative methyltransferase	Bacteria	Unknown	Polyketide / Saccharidearimetamycin
116_putative methyltransferase	Bacteria	Unknown	Polyketide / saccharidearixanthomycin
116_putative methyltransferase	Bacteria	Unknown	Polyketide / saccharidearixanthomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideazicemicin
116_putative methyltransferase	Bacteria	Actinobacteria	PolyketideBE-7585A
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidechelocardin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidechlortetracycline
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketide / Saccharidechromomycin A3
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketide / Saccharidechromomycin A3
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidechrysomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidecalcimycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidecinerubin B
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidedactylocycline
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidedaunorubicin
116_putative methyltransferase	Bacteria	Unknown	Polyketidefluostatin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidefredericamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidegriseorhodin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidehatomarubigin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidelactonamycin Z
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidelactonamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidelysolipin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidecalicheamicin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketide / Saccharidemithramycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketide / Saccharidemithramycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidenogalamycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideoxytetracycline
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideprodigiosin
116_putative methyltransferase	Bacteria	Proteobacteria	Polyketideprodigiosin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideravidomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketideresistomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketiderhodomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Other / Polyketide / SaccharideSF2575
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidecalicheamicin
116_putative methyltransferase	Bacteria	Unknown	Polyketidetetarimycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidetetracenomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidetetracenomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidexantholipin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidexantholipin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidexantholipin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPA54145
116_putative methyltransferase	Bacteria	Actinobacteria	NRPactinomycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPactinomycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPactinomycin
116_putative methyltransferase	Bacteria	Actinobacteria	Polyketidefostriecin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPanthramycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPechinomycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPechosides
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketideepoxomicin
116_putative methyltransferase	Bacteria	Unknown	NRPET-743
116_putative methyltransferase	Bacteria	Cyanobacteria	NRP / Saccharidehassallidins
116_putative methyltransferase	Bacteria	Actinobacteria	NRPhormaomycin
116_putative methyltransferase	Bacteria	Cyanobacteria	NRPlyngbyatoxin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPmannopeptimycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPnaphthyridinomycin
116_putative methyltransferase	Bacteria	Proteobacteria	Polyketidegephyronic acid
116_putative methyltransferase	Bacteria	Actinobacteria	NRPporothramycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPporothramycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPquinomycin
116_putative methyltransferase	Bacteria	Proteobacteria	NRPrhabdopeptides
116_putative methyltransferase	Bacteria	Proteobacteria	NRPrhabdopeptides
116_putative methyltransferase	Bacteria	Proteobacteria	NRPrhabdopeptides
116_putative methyltransferase	Bacteria	Proteobacteria	NRPsafracin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPsaframycin A
116_putative methyltransferase	Bacteria	Actinobacteria	NRPscabichelin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPsibiromycin
116_putative methyltransferase	Bacteria	Proteobacteria	Polyketidegephyronic acid
116_putative methyltransferase	Bacteria	Actinobacteria	NRPskyllamycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPstenothricin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPSW-163
116_putative methyltransferase	Bacteria	Actinobacteria	NRPthaxtomin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPthaxtomin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPthiocoraline
116_putative methyltransferase	Bacteria	Actinobacteria	NRPtomaymycin
116_putative methyltransferase	Bacteria	Actinobacteria	NRPtriostin A
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidegriseoviridin / viridogrisein
116_putative methyltransferase	Bacteria	Actinobacteria	NRP / Polyketidegriseoviridin / viridogrisein
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Actinobacteria	Polyketidemarineosin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Proteobacteria	NRPpyoverdine
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Proteobacteria	NRP / Polyketidechondramide
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Proteobacteria	NRP / Polyketidechondramide
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Proteobacteria	NRP / Polyketidechondramide
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Actinobacteria	NRP / Polyketideundecylprodigiosin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Unknown	NRP / Polyketidepsymberin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Unknown	NRP / Polyketidepsymberin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Tectomicrobia	Polyketidemisakinolide
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Proteobacteria	NRP / Polyketidenannocystin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Proteobacteria	NRP / Polyketidenannocystin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Actinobacteria	Polyketidenatamycin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Actinobacteria	Polyketideprodigiosin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Proteobacteria	Polyketideprodigiosin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Proteobacteria	Polyketideprodigiosin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Proteobacteria	Polyketideprodigiosin
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Actinobacteria	NRPA-503083
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Actinobacteria	NRPA-503083
117_Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	Bacteria	Actinobacteria	NRPcyclomarin
118_Rieske (2Fe-2S) domain protein	Bacteria	Proteobacteria	Polyketideambruticin
118_Rieske (2Fe-2S) domain protein	Bacteria	Unknown	Polyketide / Saccharidearimetamycin
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Polyketidecolabomycin
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Polyketideprodigiosin
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Polyketideprodigiosin
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Polyketideprodigiosin
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Polyketideprodigiosin
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Polyketide / Saccharidesteffimycin
118_Rieske (2Fe-2S) domain protein	Bacteria	Cyanobacteria	NRP / Polyketide / Saccharideaeruginoside
118_Rieske (2Fe-2S) domain protein	Bacteria	Proteobacteria	NRP / Polyketideleupyrrin
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	NRPviomycin
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Polyketideapoptolidin
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Terpenecarotenoid
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Terpenecarotenoid
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Terpeneisorenieratene
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Terpenexiamycin
118_Rieske (2Fe-2S) domain protein	Bacteria	Cyanobacteria	Alkaloid / Terpenewelwitindolinone
118_Rieske (2Fe-2S) domain protein	Bacteria	Cyanobacteria	Alkaloid / Terpenewelwitindolinone
118_Rieske (2Fe-2S) domain protein	Bacteria	Cyanobacteria	Alkaloid / Terpenewelwitindolinone
118_Rieske (2Fe-2S) domain protein	Bacteria	Cyanobacteria	Alkaloid / Terpenewelwitindolinone
118_Rieske (2Fe-2S) domain protein	Bacteria	Unknown	Alkaloidmethylarcyriarubin
118_Rieske (2Fe-2S) domain protein	Bacteria	Cyanobacteria	AlkaloidAWQC131C
118_Rieske (2Fe-2S) domain protein	Bacteria	Actinobacteria	Polyketidegalbonolides
118_Rieske (2Fe-2S) domain protein	Bacteria	Cyanobacteria	AlkaloidAWQC131C
118_Rieske (2Fe-2S) domain protein	Bacteria	Proteobacteria	Otherpromysalin
118_Rieske (2Fe-2S) domain protein	Bacteria	Proteobacteria	Otherpromysalin
118_Rieske (2Fe-2S) domain protein	Bacteria	Proteobacteria	Otherpyrrolnitrin
118_Rieske (2Fe-2S) domain protein	Bacteria	Cyanobacteria	OtherT3 toxin
